eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,geodeticDatum,countryCode,,,
N3TIT_E,N3TIT_E1,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Aporophyla_nigra ,Black_rustic ,Species ,3,3,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E2,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species ,3,3,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E3,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Geometridae,Larval_geometrid,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E4,Human_observation,09/09/2025,Animalia ,Diptera,Tipula_oleracea ,Marsh_crane_fly ,Species ,2,2,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E5,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Noctua_pronuba ,Large_yellow_underwing,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E6,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Paradiarsia_glareosa ,Autumnal_rustic ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E7,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Xestia_agathina ,Heath_rustic ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E8,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Blastobasis_lacticolella,Large_pale_masoner ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_E,N3TIT_E9,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Stilbia_anomala,The_anomalous,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,WGS84,GB,,,
N3TIT_A,N3TIT_A1,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Standfussiana_lucernea,Northern_rustic ,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A2,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Denticucullus_pygmina,Small_wainscot,Species ,2,2,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A3,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species ,2,2,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A4,Human_observation,10/09/2025,Animalia ,Diptera,Limoniidae,Crane_fly ,Family,3,3,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A5,Human_observation,10/09/2025,Animalia ,Araneae,Linyphiidae,Money_spider,Family ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A6,Human_observation,10/09/2025,Animalia ,Hemiptera,Rhopalidae,Scentless_plant_bugs,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A7,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Agrius_convolvuli,Convolvulus_hawk_moth,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A8,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Tipulidae,Crane_fly ,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A9,Human_observation,10/09/2025,Animalia ,Hymenoptera,Ophion_sp,Parasitic_wasps,Genus ,2,2,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A10,Human_observation,10/09/2025,Animalia ,Trichoptera ,Limnephilus_lunatus,Cinnamon_sedge_caddisfly,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_J,N3TIT_J1,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Aporophyla_nigra ,Black_rustic ,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J2,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species,5,5,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J3,Human_observation,11/09/2025,Animalia ,Trichoptera ,Trichoptera,Caddis_fly,Order,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J4,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Euxoa_nigricans,Garden_dart,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J5,Human_observation,11/09/2025,Animalia ,Diptera,Tipuloidea,Crane_fly ,Super_family,4,4,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J6,Human_observation,11/09/2025,Animalia ,Diptera,Culicidae,Mosquito,Family ,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J7,Human_observation,11/09/2025,Animalia ,Diptera,Diptera ,Fly,Family,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J8,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Colostygia_pectinataria,Green_carpet_moth,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J9,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Cardrina_morpheus,Mottled_rustic,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,,
